,region,department,overseas,city,station,latitude,longitude
567,BOURGOGNE-FRANCHE-COMTE,DOUBS,False,BESANÇON,Besancon Prevoyance&FR82006,47.2474,6.015419
568,BOURGOGNE-FRANCHE-COMTE,DOUBS,False,MONTBÉLIARD,Montbéliard centre&FR82010,47.510307,6.794
569,BOURGOGNE-FRANCHE-COMTE,DOUBS,False,DAMBENOIS,Dambenois Citoyen&FR82012,47.538193,6.868361
570,BOURGOGNE-FRANCHE-COMTE,TERRITOIRE DE BELFORT,False,BELFORT,Belfort Octroi&FR82020,47.640667,6.859278
571,BOURGOGNE-FRANCHE-COMTE,DOUBS,False,MONTANDON,Montandon Baresans&FR82030,47.29464,6.825861
572,BOURGOGNE-FRANCHE-COMTE,JURA,False,DOLE,Dole centre&FR82040,47.09672,5.496389
573,BOURGOGNE-FRANCHE-COMTE,JURA,False,TAVAUX,Tavaux&FR82041,47.04261,5.400897
574,BOURGOGNE-FRANCHE-COMTE,JURA,False,DAMPARIS,Damparis&FR82042,47.06564,5.415028
575,BOURGOGNE-FRANCHE-COMTE,JURA,False,CHÂTENOIS,Chatenois&FR82043,47.14725,5.556117
576,BOURGOGNE-FRANCHE-COMTE,JURA,False,LONS-LE-SAUNIER,Lons-le-Saunier CV&FR82050,46.671307,5.556806
577,BOURGOGNE-FRANCHE-COMTE,SAÔNE,False,VESOUL,Vesoul Pres Caillet&FR82060,47.62,6.157611
578,BOURGOGNE-FRANCHE-COMTE,DOUBS,False,BAUME-LES-DAMES,Baume-les-Dames&FR82070,47.351288,6.359722
